common_name	genome_name	species_name	genome_url	bsgenome	refseq_accession	refseq_url	buffer_col
white-throated dipper 	bCinCin1.1	Cinclus cinclus	https://hgdownload.soe.ucsc.edu/hubs/GCF/963/662/255/GCF_963662255.1/GCF_963662255.1.fa.gz		GCF_963662255.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_963662255.1/	
long-tailed duck 	bClaHye2.1	Clangula hyemalis	https://hgdownload.soe.ucsc.edu/hubs/GCA/963/989/345/GCA_963989345.1/GCA_963989345.1.fa.gz		GCA_963989345.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_963989345.1/	
light-bulb sea squirt 	kaClaLepa1.1	Clavelina lepadiformis	https://hgdownload.soe.ucsc.edu/hubs/GCA/947/623/445/GCA_947623445.1/GCA_947623445.1.fa.gz		GCA_947623445.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_947623445.1/	
speckled mousebird 	bColStr4.1.hap1	Colius striatus	https://hgdownload.soe.ucsc.edu/hubs/GCF/028/858/725/GCF_028858725.1/GCF_028858725.1.fa.gz		GCF_028858725.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_028858725.1/	
rock pigeon 	bColLiv1.pat.W.v2	Columba livia	https://hgdownload.soe.ucsc.edu/hubs/GCF/036/013/475/GCF_036013475.1/GCF_036013475.1.fa.gz		GCF_036013475.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_036013475.1/	
European conger 	fConCon1.1	Conger conger	https://hgdownload.soe.ucsc.edu/hubs/GCF/963/514/075/GCF_963514075.1/GCF_963514075.1.fa.gz		GCF_963514075.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_963514075.1/	
common whitefish 	fCorLav1.hap1.1	Coregonus lavaretus	https://hgdownload.soe.ucsc.edu/hubs/GCA/964/263/955/GCA_964263955.1/GCA_964263955.1.fa.gz		GCA_964263955.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_964263955.1/	
orange-tipped seq squirt 	kaCorEumy4.1	Corella eumyota	https://hgdownload.soe.ucsc.edu/hubs/GCA/963/082/875/GCA_963082875.1/GCA_963082875.1.fa.gz		GCA_963082875.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_963082875.1/	
Hawaiian crow 	bCorHaw1.pri.cur	Corvus hawaiiensis	https://hgdownload.soe.ucsc.edu/hubs/GCF/020/740/725/GCF_020740725.1/GCF_020740725.1.fa.gz		GCF_020740725.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_020740725.1/	
New Caledonian crow 	bCorMon1.pri	Corvus moneduloides	https://hgdownload.soe.ucsc.edu/hubs/GCF/009/650/955/GCF_009650955.1/GCF_009650955.1.fa.gz		GCF_009650955.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_009650955.1/	
Townsend's big-eared bat 	mCorTow1.0.hap2	Corynorhinus townsendii	https://hgdownload.soe.ucsc.edu/hubs/GCA/026/230/045/GCA_026230045.1/GCA_026230045.1.fa.gz		GCA_026230045.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_026230045.1/	
channel bull blenny 	fCotGob3.1	Cottoperca gobio	https://hgdownload.soe.ucsc.edu/hubs/GCF/900/634/415/GCF_900634415.1/GCF_900634415.1.fa.gz		GCF_900634415.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_900634415.1/	
common cuckoo 	bCucCan1.pri	Cuculus canorus	https://hgdownload.soe.ucsc.edu/hubs/GCF/017/976/375/GCF_017976375.1/GCF_017976375.1.fa.gz		GCF_017976375.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_017976375.1/	
lumpfish 	fCycLum1.pri	Cyclopterus lumpus	https://hgdownload.soe.ucsc.edu/hubs/GCF/009/769/545/GCF_009769545.1/GCF_009769545.1.fa.gz		GCF_009769545.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_009769545.1/	
Grand Cayman blue iguana 	rCycPin1.hap1	Cyclura pinguis	https://hgdownload.soe.ucsc.edu/hubs/GCA/030/412/105/GCA_030412105.1/GCA_030412105.1.fa.gz		GCA_030412105.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_030412105.1/	
mute swan 	bCygOlo1.pri.v2	Cygnus olor	https://hgdownload.soe.ucsc.edu/hubs/GCF/009/769/625/GCF_009769625.2/GCF_009769625.2.fa.gz		GCF_009769625.2	https://www.ncbi.nlm.nih.gov/assembly/GCF_009769625.2/	
Philippine flying lemur 	mCynVol1.pri	Cynocephalus volans	https://hgdownload.soe.ucsc.edu/hubs/GCF/027/409/185/GCF_027409185.1/GCF_027409185.1.fa.gz		GCF_027409185.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_027409185.1/	
blacktail shiner 	fCypVen1.hap2	Cyprinella venusta	https://hgdownload.soe.ucsc.edu/hubs/GCA/038/024/135/GCA_038024135.1/GCA_038024135.1.fa.gz		GCA_038024135.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_038024135.1/	
zebrafish 	fDanRer4.1	Danio rerio	https://hgdownload.soe.ucsc.edu/hubs/GCA/944/039/275/GCA_944039275.1/GCA_944039275.1.fa.gz		GCA_944039275.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_944039275.1/	
nine-banded armadillo 	mDasNov1.hap2	Dasypus novemcinctus	https://hgdownload.soe.ucsc.edu/hubs/GCF/030/445/035/GCF_030445035.1/GCF_030445035.1.fa.gz		GCF_030445035.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_030445035.1/	
saddleback dolphin 	mDelDel1.2	Delphinus delphis	https://hgdownload.soe.ucsc.edu/hubs/GCF/949/987/515/GCF_949987515.2/GCF_949987515.2.fa.gz		GCF_949987515.2	https://www.ncbi.nlm.nih.gov/assembly/GCF_949987515.2/	
hourglass treefrog 	aDenEbr1.pat	Dendropsophus ebraccatus	https://hgdownload.soe.ucsc.edu/hubs/GCF/027/789/765/GCF_027789765.1/GCF_027789765.1.fa.gz		GCF_027789765.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_027789765.1/	
denticle herring 	fDenClu1.2	Denticeps clupeoides	https://hgdownload.soe.ucsc.edu/hubs/GCA/900/700/375/GCA_900700375.2/GCA_900700375.2.fa.gz		GCA_900700375.2	https://www.ncbi.nlm.nih.gov/assembly/GCA_900700375.2/	
leatherback sea turtle 	rDerCor1.pri.v4	Dermochelys coriacea	https://hgdownload.soe.ucsc.edu/hubs/GCF/009/764/565/GCF_009764565.3/GCF_009764565.3.fa.gz		GCF_009764565.3	https://www.ncbi.nlm.nih.gov/assembly/GCF_009764565.3/	
common vampire bat 	HLdesRot8A.1	Desmodus rotundus	https://hgdownload.soe.ucsc.edu/hubs/GCA/022/682/495/GCA_022682495.2/GCA_022682495.2.fa.gz		GCA_022682495.2	https://www.ncbi.nlm.nih.gov/assembly/GCA_022682495.2/	
black rhinoceros 	mDicBic1.mat.cur	Diceros bicornis minor	https://hgdownload.soe.ucsc.edu/hubs/GCF/020/826/845/GCF_020826845.1/GCF_020826845.1.fa.gz		GCF_020826845.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_020826845.1/	
painted frog 	aDisPic1.pri	Discoglossus pictus	https://hgdownload.soe.ucsc.edu/hubs/GCA/027/410/445/GCA_027410445.1/GCA_027410445.1.fa.gz		GCA_027410445.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_027410445.1/	
emu 	bDroNov1.hap1	Dromaius novaehollandiae	https://hgdownload.soe.ucsc.edu/hubs/GCF/036/370/855/GCF_036370855.1/GCF_036370855.1.fa.gz		GCF_036370855.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_036370855.1/	
emu 	ZJU2.0	Dromaius novaehollandiae	https://hgdownload.soe.ucsc.edu/hubs/GCA/016/128/335/GCA_016128335.2/GCA_016128335.2.fa.gz		GCA_016128335.2	https://www.ncbi.nlm.nih.gov/assembly/GCA_016128335.2/	
monito del monte 	mDroGli1.pri	Dromiciops gliroides	https://hgdownload.soe.ucsc.edu/hubs/GCF/019/393/635/GCF_019393635.1/GCF_019393635.1.fa.gz		GCF_019393635.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_019393635.1/	
downy woodpecker 	bDryPub1.pri	Dryobates pubescens	https://hgdownload.soe.ucsc.edu/hubs/GCF/014/839/835/GCF_014839835.1/GCF_014839835.1.fa.gz		GCF_014839835.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_014839835.1/	
dugong 	mDugDug1.hap1	Dugong dugon	https://hgdownload.soe.ucsc.edu/hubs/GCA/030/035/585/GCA_030035585.1/GCA_030035585.1.fa.gz		GCA_030035585.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_030035585.1/	
live sharksucker 	fEcheNa1.2	Echeneis naucrates	https://hgdownload.soe.ucsc.edu/hubs/GCA/900/963/305/GCA_900963305.2/GCA_900963305.2.fa.gz		GCA_900963305.2	https://www.ncbi.nlm.nih.gov/assembly/GCA_900963305.2/	
lesser weever 	fEchVip8.1	Echiichthys vipera	https://hgdownload.soe.ucsc.edu/hubs/GCA/963/691/815/GCA_963691815.1/GCA_963691815.1.fa.gz		GCA_963691815.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_963691815.1/	
Antarctic lanternfish 	fEleAnt2.1	Electrona antarctica	https://hgdownload.soe.ucsc.edu/hubs/GCA/951/216/825/GCA_951216825.1/GCA_951216825.1.fa.gz		GCA_951216825.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_951216825.1/	
electric eel 	fEleEle1.pri	Electrophorus electricus	https://hgdownload.soe.ucsc.edu/hubs/GCF/013/358/815/GCF_013358815.1/GCF_013358815.1.fa.gz		GCF_013358815.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_013358815.1/	
Asiatic elephant 	mEleMax1_primary_haplotype	Elephas maximus indicus	https://hgdownload.soe.ucsc.edu/hubs/GCF/024/166/365/GCF_024166365.1/GCF_024166365.1.fa.gz		GCF_024166365.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_024166365.1/	
Puerto Rican coqui 	aEleCoq1.hap1	Eleutherodactylus coqui	https://hgdownload.soe.ucsc.edu/hubs/GCA/035/609/145/GCA_035609145.1/GCA_035609145.1.fa.gz		GCA_035609145.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_035609145.1/	
San Diego alligator lizard 	rElgMul1.1.pri	Elgaria multicarinata webbii	https://hgdownload.soe.ucsc.edu/hubs/GCF/023/053/635/GCF_023053635.1/GCF_023053635.1.fa.gz		GCF_023053635.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_023053635.1/	
European pond turtle 	rEmyOrb1.hap1	Emys orbicularis	https://hgdownload.soe.ucsc.edu/hubs/GCF/028/017/835/GCF_028017835.1/GCF_028017835.1.fa.gz		GCF_028017835.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_028017835.1/	
Tungara frog 	aEngPut4.maternal	Engystomops pustulosus	https://hgdownload.soe.ucsc.edu/hubs/GCA/040/894/005/GCA_040894005.1/GCA_040894005.1.fa.gz		GCA_040894005.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_040894005.1/	
big brown bat 	DD_ASM_mEF_20220401	Eptesicus fuscus	https://hgdownload.soe.ucsc.edu/hubs/GCF/027/574/615/GCF_027574615.1/GCF_027574615.1.fa.gz		GCF_027574615.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_027574615.1/	
northern bat 	mEptNil1.1	Eptesicus nilssonii	https://hgdownload.soe.ucsc.edu/hubs/GCA/951/640/355/GCA_951640355.1/GCA_951640355.1.fa.gz		GCA_951640355.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_951640355.1/	
horse 	mEquCab1.pat	Equus caballus	https://hgdownload.soe.ucsc.edu/hubs/GCA/036/426/135/GCA_036426135.1/GCA_036426135.1.fa.gz		GCA_036426135.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_036426135.1/	
North American porcupine 	mEreDor1.pri	Erethizon dorsatum	https://hgdownload.soe.ucsc.edu/hubs/GCA/028/451/465/GCA_028451465.1/GCA_028451465.1.fa.gz		GCA_028451465.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_028451465.1/	
western European hedgehog 	mEriEur2.1	Erinaceus europaeus	https://hgdownload.soe.ucsc.edu/hubs/GCF/950/295/315/GCF_950295315.1/GCF_950295315.1.fa.gz		GCF_950295315.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_950295315.1/	
European robin 	bEriRub2.2	Erithacus rubecula	https://hgdownload.soe.ucsc.edu/hubs/GCA/903/797/595/GCA_903797595.2/GCA_903797595.2.fa.gz		GCA_903797595.2	https://www.ncbi.nlm.nih.gov/assembly/GCA_903797595.2/	
reedfish 	fErpCal1.3	Erpetoichthys calabaricus	https://hgdownload.soe.ucsc.edu/hubs/GCF/900/747/795/GCF_900747795.2/GCF_900747795.2.fa.gz		GCF_900747795.2	https://www.ncbi.nlm.nih.gov/assembly/GCF_900747795.2/	
royal ground snake 	rEryReg1.hap1	Erythrolamprus reginae	https://hgdownload.soe.ucsc.edu/hubs/GCA/031/021/105/GCA_031021105.1/GCA_031021105.1.fa.gz		GCA_031021105.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_031021105.1/	
grey whale 	mEscRob2.pri	Eschrichtius robustus	https://hgdownload.soe.ucsc.edu/hubs/GCF/028/021/215/GCF_028021215.1/GCF_028021215.1.fa.gz		GCF_028021215.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_028021215.1/	
northern pike 	fEsoLuc1.pri	Esox lucius	https://hgdownload.soe.ucsc.edu/hubs/GCF/011/004/845/GCF_011004845.1/GCF_011004845.1.fa.gz		GCF_011004845.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_011004845.1/	
North Atlantic right whale 	mEubGla1.1.hap2._XY	Eubalaena glacialis	https://hgdownload.soe.ucsc.edu/hubs/GCF/028/564/815/GCF_028564815.1/GCF_028564815.1.fa.gz		GCF_028564815.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_028564815.1/	
European leaf-toed gecko 	rEulEur1.hap1	Euleptes europaea	https://hgdownload.soe.ucsc.edu/hubs/GCF/029/931/775/GCF_029931775.1/GCF_029931775.1.fa.gz		GCF_029931775.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_029931775.1/	
grey gurnard 	fEutGur1.1	Eutrigla gurnardus	https://hgdownload.soe.ucsc.edu/hubs/GCA/963/514/095/GCA_963514095.1/GCA_963514095.1.fa.gz		GCA_963514095.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_963514095.1/	
bird E.chinensis 	bCotChi1.hap2	Excalfactoria chinensis	https://hgdownload.soe.ucsc.edu/hubs/GCA/039/878/825/GCA_039878825.1/GCA_039878825.1.fa.gz		GCA_039878825.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_039878825.1/	
lanner falcon 	bFalBia1.pri	Falco biarmicus	https://hgdownload.soe.ucsc.edu/hubs/GCF/023/638/135/GCF_023638135.1/GCF_023638135.1.fa.gz		GCF_023638135.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_023638135.1/	
Saker falcon 	bFalChe1.pri	Falco cherrug	https://hgdownload.soe.ucsc.edu/hubs/GCF/023/634/085/GCF_023634085.1/GCF_023634085.1.fa.gz		GCF_023634085.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_023634085.1/	
lesser kestrel 	bFalNau1.pat	Falco naumanni	https://hgdownload.soe.ucsc.edu/hubs/GCF/017/639/655/GCF_017639655.2/GCF_017639655.2.fa.gz		GCF_017639655.2	https://www.ncbi.nlm.nih.gov/assembly/GCF_017639655.2/	
peregrine falcon 	bFalPer1.pri	Falco peregrinus	https://hgdownload.soe.ucsc.edu/hubs/GCF/023/634/155/GCF_023634155.1/GCF_023634155.1.fa.gz		GCF_023634155.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_023634155.1/	
Mauritius kestrel 	bFalPun1.1	Falco punctatus	https://hgdownload.soe.ucsc.edu/hubs/GCA/963/210/335/GCA_963210335.1/GCA_963210335.1.fa.gz		GCA_963210335.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_963210335.1/	
gyrfalcon 	bFalRus1.pri	Falco rusticolus	https://hgdownload.soe.ucsc.edu/hubs/GCF/015/220/075/GCF_015220075.1/GCF_015220075.1.fa.gz		GCF_015220075.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_015220075.1/	
chaffinch 	bFriCoe1.1	Fringilla coelebs	https://hgdownload.soe.ucsc.edu/hubs/GCA/963/513/975/GCA_963513975.1/GCA_963513975.1.fa.gz		GCA_963513975.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_963513975.1/	
banded killifish 	fFunDia1.hap1	Fundulus diaphanus	https://hgdownload.soe.ucsc.edu/hubs/GCA/037/039/145/GCA_037039145.1/GCA_037039145.1.fa.gz		GCA_037039145.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_037039145.1/	
lizards F.pardalis 	ASM3044067v1	Furcifer pardalis	https://hgdownload.soe.ucsc.edu/hubs/GCA/030/440/675/GCA_030440675.1/GCA_030440675.1.fa.gz		GCA_030440675.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_030440675.1/	
Atlantic cod 	gadMor3.0	Gadus morhua	https://hgdownload.soe.ucsc.edu/hubs/GCF/902/167/405/GCF_902167405.1/GCF_902167405.1.fa.gz		GCF_902167405.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_902167405.1/	
common moorhen 	bGalChl1.hap1.1	Gallinula chloropus	https://hgdownload.soe.ucsc.edu/hubs/GCA/964/237/585/GCA_964237585.1/GCA_964237585.1.fa.gz		GCA_964237585.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_964237585.1/	
white leghorn X broiler chicken 	bGalGal1.pat.whiteleghornlayer.GRCg7w	Gallus gallus	https://hgdownload.soe.ucsc.edu/hubs/GCF/016/700/215/GCF_016700215.2/GCF_016700215.2.fa.gz		GCF_016700215.2	https://www.ncbi.nlm.nih.gov/assembly/GCF_016700215.2/	
three-spined stickleback 	fGasAcu3.hap1.1	Gasterosteus aculeatus	https://hgdownload.soe.ucsc.edu/hubs/GCA/964/276/395/GCA_964276395.1/GCA_964276395.1.fa.gz		GCA_964276395.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_964276395.1/	
eastern narrow-mouthed toad 	aGasCar1.pri	Gastrophryne carolinensis	https://hgdownload.soe.ucsc.edu/hubs/GCA/027/917/425/GCA_027917425.1/GCA_027917425.1.fa.gz		GCA_027917425.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_027917425.1/	
red-throated loon 	bGavSte3.hap2	Gavia stellata	https://hgdownload.soe.ucsc.edu/hubs/GCF/030/936/135/GCF_030936135.1/GCF_030936135.1.fa.gz		GCF_030936135.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_030936135.1/	
gharial 	rGavGan2.hap2	Gavialis gangeticus	https://hgdownload.soe.ucsc.edu/hubs/GCA/030/020/295/GCA_030020295.1/GCA_030020295.1.fa.gz		GCA_030020295.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_030020295.1/	
common yellowthroat 	bGeoTri1.pri	Geothlypis trichas	https://hgdownload.soe.ucsc.edu/hubs/GCA/009/764/595/GCA_009764595.1/GCA_009764595.1.fa.gz		GCA_009764595.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_009764595.1/	
Gaboon caecilian 	aGeoSer1.1	Geotrypetes seraphini	https://hgdownload.soe.ucsc.edu/hubs/GCF/902/459/505/GCF_902459505.1/GCF_902459505.1.fa.gz		GCF_902459505.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_902459505.1/	
Gaboon caecilian 	aGeoSer1.2	Geotrypetes seraphini	https://hgdownload.soe.ucsc.edu/hubs/GCA/902/459/505/GCA_902459505.2/GCA_902459505.2.fa.gz		GCA_902459505.2	https://www.ncbi.nlm.nih.gov/assembly/GCA_902459505.2/	
dark-edged splitfin 	DD_fGirMul_XY1	Girardinichthys multiradiatus	https://hgdownload.soe.ucsc.edu/hubs/GCF/021/462/225/GCF_021462225.1/GCF_021462225.1.fa.gz		GCF_021462225.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_021462225.1/	
long-finned pilot whale 	mGloMel1.1	Globicephala melas	https://hgdownload.soe.ucsc.edu/hubs/GCF/963/455/315/GCF_963455315.1/GCF_963455315.1.fa.gz		GCF_963455315.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_963455315.1/	
long-finned pilot whale 	mGloMel1.2	Globicephala melas	https://hgdownload.soe.ucsc.edu/hubs/GCA/963/455/315/GCA_963455315.2/GCA_963455315.2.fa.gz		GCA_963455315.2	https://www.ncbi.nlm.nih.gov/assembly/GCA_963455315.2/	
Merriam's long-tongued bat 	mGloMut1.hap1	Glossophaga mutica	https://hgdownload.soe.ucsc.edu/hubs/GCA/039/655/065/GCA_039655065.1/GCA_039655065.1.fa.gz		GCA_039655065.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_039655065.1/	
gudgeon 	fGobGob1.1	Gobio gobio	https://hgdownload.soe.ucsc.edu/hubs/GCA/949/357/685/GCA_949357685.1/GCA_949357685.1.fa.gz		GCA_949357685.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_949357685.1/	
black goby 	fGobNig1.1	Gobius niger	https://hgdownload.soe.ucsc.edu/hubs/GCA/951/799/975/GCA_951799975.1/GCA_951799975.1.fa.gz		GCA_951799975.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_951799975.1/	
Goodes thornscrub tortoise 	rGopEvg1_v1.p	Gopherus evgoodei	https://hgdownload.soe.ucsc.edu/hubs/GCF/007/399/415/GCF_007399415.2/GCF_007399415.2.fa.gz		GCF_007399415.2	https://www.ncbi.nlm.nih.gov/assembly/GCF_007399415.2/	
Mexican gopher tortoise 	rGopFla2.mat.asm	Gopherus flavomarginatus	https://hgdownload.soe.ucsc.edu/hubs/GCF/025/201/925/GCF_025201925.1/GCF_025201925.1.fa.gz		GCF_025201925.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_025201925.1/	
western lowland gorilla 	mGorGor1.v2.1_pri	Gorilla gorilla gorilla	https://hgdownload.soe.ucsc.edu/hubs/GCA/029/281/585/GCA_029281585.3/GCA_029281585.3.fa.gz		GCA_029281585.3	https://www.ncbi.nlm.nih.gov/assembly/GCA_029281585.3/	
western lowland gorilla 	mGorGor1.v2.0_pri	Gorilla gorilla gorilla	https://hgdownload.soe.ucsc.edu/hubs/GCF/029/281/585/GCF_029281585.2/GCF_029281585.2.fa.gz		GCF_029281585.2	https://www.ncbi.nlm.nih.gov/assembly/GCF_029281585.2/	
blunt-snouted clingfish 	fGouWil2.2	Gouania willdenowi	https://hgdownload.soe.ucsc.edu/hubs/GCA/900/634/775/GCA_900634775.2/GCA_900634775.2.fa.gz		GCA_900634775.2	https://www.ncbi.nlm.nih.gov/assembly/GCA_900634775.2/	
whooping crane 	bGruAme1.mat	Grus americana	https://hgdownload.soe.ucsc.edu/hubs/GCF/028/858/705/GCF_028858705.1/GCF_028858705.1.fa.gz		GCF_028858705.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_028858705.1/	
Eurasian crane 	bGruGru1.hap1.1	Grus grus	https://hgdownload.soe.ucsc.edu/hubs/GCA/964/106/855/GCA_964106855.1/GCA_964106855.1.fa.gz		GCA_964106855.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_964106855.1/	
Brauer's lanternfish 	fGymBra2.1	Gymnoscopelus braueri	https://hgdownload.soe.ucsc.edu/hubs/GCA/963/280/865/GCA_963280865.1/GCA_963280865.1.fa.gz		GCA_963280865.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_963280865.1/	
minispotted lanternfish 	fGymMic1.1	Gymnoscopelus microlampas	https://hgdownload.soe.ucsc.edu/hubs/GCA/963/454/915/GCA_963454915.1/GCA_963454915.1.fa.gz		GCA_963454915.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_963454915.1/	
lammergeier 	bGypBar2.pri	Gypaetus barbatus	https://hgdownload.soe.ucsc.edu/hubs/GCA/028/022/735/GCA_028022735.1/GCA_028022735.1.fa.gz		GCA_028022735.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_028022735.1/	
house finch 	bHaeMex1.pri	Haemorhous mexicanus	https://hgdownload.soe.ucsc.edu/hubs/GCF/027/477/595/GCF_027477595.1/GCF_027477595.1.fa.gz		GCF_027477595.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_027477595.1/	
white-tailed eagle 	bHalAlb1.1	Haliaeetus albicilla	https://hgdownload.soe.ucsc.edu/hubs/GCF/947/461/875/GCF_947461875.1/GCF_947461875.1.fa.gz		GCF_947461875.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_947461875.1/	
Harpy eagle 	bHarHar1_primary_haplotype	Harpia harpyja	https://hgdownload.soe.ucsc.edu/hubs/GCF/026/419/915/GCF_026419915.1/GCF_026419915.1.fa.gz		GCF_026419915.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_026419915.1/	
tourmaline sunangel 	bHelExo1.hap1	Heliangelus exortis	https://hgdownload.soe.ucsc.edu/hubs/GCA/036/169/615/GCA_036169615.1/GCA_036169615.1.fa.gz		GCA_036169615.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_036169615.1/	
whiskered treeswift 	bHemCom1.pri.cur	Hemiprocne comata	https://hgdownload.soe.ucsc.edu/hubs/GCA/020/745/705/GCA_020745705.1/GCA_020745705.1.fa.gz		GCA_020745705.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_020745705.1/	
epaulette shark 	sHemOce1.pat.X.cur.	Hemiscyllium ocellatum	https://hgdownload.soe.ucsc.edu/hubs/GCF/020/745/735/GCF_020745735.1/GCF_020745735.1.fa.gz		GCF_020745735.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_020745735.1/	
sharpnose sevengill shark 	sHepPer1.hap1	Heptranchias perlo	https://hgdownload.soe.ucsc.edu/hubs/GCA/035/084/215/GCA_035084215.1/GCA_035084215.1.fa.gz		GCA_035084215.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_035084215.1/	
horn shark 	sHetFra1.hap1	Heterodontus francisci	https://hgdownload.soe.ucsc.edu/hubs/GCF/036/365/525/GCF_036365525.1/GCF_036365525.1.fa.gz		GCF_036365525.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_036365525.1/	
horn shark 	sHetFra1.hap2	Heterodontus francisci	https://hgdownload.soe.ucsc.edu/hubs/GCA/036/365/495/GCA_036365495.1/GCA_036365495.1.fa.gz		GCA_036365495.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_036365495.1/	
yellow-spotted hyrax 	mHetBru1.pri	Heterohyrax brucei	https://hgdownload.soe.ucsc.edu/hubs/GCA/028/571/685/GCA_028571685.1/GCA_028571685.1.fa.gz		GCA_028571685.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_028571685.1/	
Atlantic halibut 	fHipHip1.pri	Hippoglossus hippoglossus	https://hgdownload.soe.ucsc.edu/hubs/GCF/009/819/705/GCF_009819705.1/GCF_009819705.1.fa.gz		GCF_009819705.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_009819705.1/	
hippopotamus 	mHipAmp2.hap2	Hippopotamus amphibius kiboko	https://hgdownload.soe.ucsc.edu/hubs/GCF/030/028/045/GCF_030028045.1/GCF_030028045.1.fa.gz		GCF_030028045.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_030028045.1/	
intermediate roundleaf bat 	mHipLar1.pri	Hipposideros larvatus	https://hgdownload.soe.ucsc.edu/hubs/GCA/031/876/335/GCA_031876335.1/GCA_031876335.1.fa.gz		GCA_031876335.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_031876335.1/	
